a,b,c
1932,LTU,0
1932,IDN,0
1932,CHL,0
1932,UKR,0
1932,UGA,0
1932,SYR,0
1932,QAT,0
1932,KUW,0
1932,SSD,0
1932,SAU,0
1932,ARE,0
1932,HRV,0
1932,DEU,0
1932,ARM,0
1932,SRB,0
1932,NGA,0
1932,IND,15
1932,BEL,1
1932,DZA,0
1932,JAM,0
1932,TTO,0
1932,COL,0
1932,LUX,0
1932,BWA,0
1932,TUN,0
1932,KOR,0
1932,PRK,0
1932,CHN,0
1932,BIH,0
1932,GUY,0
1932,ISR,0
1932,KAZ,0
1932,GEO,0
1932,KEN,0
1932,ISL,0
1932,HTI,0
1932,MYS,0
1932,IRQ,0
1932,CZE,0
1932,SVK,0
1932,BHS,0
1932,AUS,0
1932,PRY,0
1932,MNE,0
1932,IRL,2
1932,PRT,0
1932,GTM,0
1932,SRB,0
1932,TZA,0
1932,LBN,0
1932,KGZ,0
1932,LVA,1
1932,NLD,0
1932,VEN,0
1932,THA,0
1932,TGO,0
1932,PER,0
1932,EST,0
1932,SVN,0
1932,NPL,0
1932,CHN,0
1932,ZWE,0
1932,MNG,0
1932,MDA,0
1932,CIV,0
1932,FJI,0
1932,SEN,0
1932,DOM,0
1932,PHL,3
1932,EGY,0
1932,SGP,0
1932,NAM,0
1932,LIE,0
1932,WIF,0
1932,AUT,0
1932,BMU,0
1932,VNM,0
1932,VGB,0
1932,MKD,0
1932,SDN,0
1932,BHR,0
1932,GRD,0
1932,LKA,0
1932,MUS,0
1932,SRB,0
1932,HKG,0
1932,CYP,0
1932,PAN,0
1932,ZMB,0
1932,MCO,0
1932,MOZ,0
1932,SUR,0
1932,AFG,0
1932,BDI,0
1932,GAB,0
1932,ECU,0
1932,CRI,0
1932,DJI,0
1932,ERI,0
1932,BRB,0
1932,TON,0
1936,DNK,6
1936,FIN,36
1936,NOR,46
1936,NLD,37
1936,FRA,45
1936,ITA,76
1936,ESP,0
1936,AZE,0
1936,RUS,0
1936,BLR,0
1936,CMR,0
1936,USA,112
1936,HUN,43
1936,GRC,0
1936,AUS,1
1936,IRN,0
1936,CAN,35
1936,PAK,0
1936,RUS,0
1936,UZB,0
1936,TJK,0
1936,RUS,0
1936,JPN,23
1936,ETH,0
1936,CHE,62
1936,DEU,0
1936,SWE,45
1936,ZAF,1
1936,TUR,2
1936,BGR,0
1936,EGY,5
1936,GBR,53
1936,JOR,0
1936,ROU,1
1936,PRI,0
1936,MEX,16
1936,GHA,0
1936,MAR,0
1936,NZL,1
1936,DEU,231
1936,ARG,11
1936,CUB,0
1936,URY,0
1936,POL,12
